time,frequency,confidence
0.000,0.000,nan
0.010,0.000,nan
0.020,0.000,nan
0.030,0.000,nan
0.040,0.000,nan
0.050,0.000,nan
0.060,0.000,nan
0.070,0.000,nan
0.080,0.000,nan
0.090,0.000,nan
0.100,0.000,nan
0.110,0.000,nan
0.120,0.000,nan
0.130,0.000,nan
0.140,0.000,nan
0.150,0.000,nan
0.160,0.000,nan
0.170,0.000,nan
0.180,0.000,nan
0.190,0.000,nan
0.200,0.000,nan
0.210,0.000,nan
0.220,0.000,nan
0.230,0.000,nan
0.240,0.000,nan
0.250,0.000,nan
0.260,0.000,nan
0.270,0.000,nan
0.280,0.000,nan
0.290,0.000,nan
0.300,0.000,nan
0.310,0.000,nan
0.320,0.000,nan
0.330,0.000,nan
0.340,0.000,nan
0.350,0.000,nan
0.360,0.000,nan
0.370,0.000,nan
0.380,0.000,nan
0.390,0.000,nan
0.400,0.000,nan
0.410,0.000,nan
0.420,0.000,nan
0.430,0.000,nan
0.440,0.000,nan
0.450,0.000,nan
0.460,0.000,nan
0.470,0.000,nan
0.480,0.000,nan
0.490,0.000,nan
0.500,0.000,nan
0.510,0.000,nan
0.520,0.000,nan
0.530,0.000,nan
0.540,0.000,nan
0.550,0.000,nan
0.560,0.000,nan
0.570,0.000,nan
0.580,0.000,nan
0.590,0.000,nan
0.600,0.000,nan
0.610,0.000,nan
0.620,0.000,nan
0.630,0.000,nan
0.640,0.000,nan
0.650,0.000,nan
0.660,0.000,nan
0.670,0.000,nan
0.680,0.000,nan
0.690,0.000,nan
0.700,0.000,nan
0.710,0.000,nan
0.720,0.000,nan
0.730,0.000,nan
0.740,0.000,nan
0.750,0.000,nan
0.760,0.000,nan
0.770,0.000,nan
0.780,0.000,nan
0.790,0.000,nan
0.800,0.000,nan
0.810,0.000,nan
0.820,0.000,nan
0.830,0.000,nan
0.840,0.000,nan
0.850,0.000,nan
0.860,0.000,nan
0.870,0.000,nan
0.880,0.000,nan
0.890,0.000,nan
0.900,0.000,nan
0.910,0.000,nan
0.920,0.000,nan
0.930,0.000,nan
0.940,0.000,nan
0.950,0.000,nan
0.960,0.000,nan
0.970,0.000,nan
0.980,0.000,nan
0.990,0.000,nan
1.000,0.000,nan
1.010,0.000,nan
1.020,554.230,0.140059
1.030,353.372,0.210849
1.040,32.671,0.024956
1.050,1050.139,0.025158
1.060,547.071,0.095630
1.070,115.949,0.142508
1.080,116.942,0.669960
1.090,116.569,0.749636
1.100,116.480,0.840646
1.110,116.538,0.888953
1.120,116.596,0.933389
1.130,116.552,0.934255
1.140,116.572,0.944090
1.150,116.581,0.938549
1.160,116.516,0.932871
1.170,116.706,0.947508
1.180,116.566,0.951212
1.190,116.569,0.948119
1.200,116.582,0.953178
1.210,116.538,0.946221
1.220,116.549,0.943062
1.230,116.640,0.953610
1.240,116.592,0.952495
1.250,116.638,0.952253
1.260,116.617,0.956328
1.270,116.581,0.951443
1.280,116.592,0.950521
1.290,116.630,0.955155
1.300,116.605,0.954839
1.310,116.670,0.955470
1.320,116.637,0.959659
1.330,116.595,0.954215
1.340,116.634,0.957947
1.350,116.616,0.957420
1.360,116.632,0.958354
1.370,116.698,0.960758
1.380,116.636,0.960575
1.390,116.625,0.957525
1.400,116.646,0.962691
1.410,116.567,0.958130
1.420,116.624,0.957911
1.430,116.711,0.962840
1.440,116.597,0.958033
1.450,116.626,0.957708
1.460,116.626,0.963268
1.470,116.518,0.956498
1.480,116.583,0.954239
1.490,116.640,0.960833
1.500,116.535,0.947877
1.510,116.597,0.953811
1.520,116.576,0.959311
1.530,116.487,0.951737
1.540,116.568,0.950788
1.550,116.598,0.954201
1.560,116.545,0.938332
1.570,116.587,0.945204
1.580,116.505,0.949300
1.590,116.573,0.929280
1.600,116.652,0.795298
1.610,114.544,0.294806
1.620,105.467,0.329659
1.630,103.823,0.690293
1.640,104.395,0.794572
1.650,104.369,0.838932
1.660,104.298,0.874233
1.670,104.358,0.871099
1.680,104.155,0.883372
1.690,104.188,0.877319
1.700,104.225,0.879238
1.710,104.136,0.893916
1.720,104.217,0.892864
1.730,104.134,0.890928
1.740,104.093,0.887898
1.750,104.135,0.892823
1.760,104.177,0.898970
1.770,104.127,0.901474
1.780,104.162,0.898633
1.790,104.113,0.901486
1.800,104.192,0.905600
1.810,104.202,0.904245
1.820,104.070,0.904760
1.830,104.051,0.907448
1.840,104.103,0.903647
1.850,104.256,0.856161
1.860,105.124,0.217947
1.870,52.815,0.092591
1.880,34.763,0.334806
1.890,58.160,0.686961
1.900,58.327,0.918033
1.910,58.139,0.928046
